minP,t,eps,NMI,ARI
5,7,3.0,0.6366,0.6423
25,5,3.0,0.6166,0.6418
20,5,3.0,0.6174,0.6403
20,15,3.0,0.6169,0.6388
25,15,3.0,0.6168,0.6387
20,7,3.0,0.6165,0.6387
30,5,3.0,0.6198,0.6348
30,15,3.0,0.6192,0.6331
3,7,3.0,0.6416,0.6254
30,7,3.5,0.6108,0.6204
30,10,3.0,0.6136,0.6144
25,10,3.0,0.6086,0.6086
20,10,3.0,0.6086,0.6063
25,5,3.5,0.6107,0.6037
15,15,3.0,0.6085,0.6034
25,7,4.0,0.6102,0.5963
5,15,3.0,0.6279,0.5955
10,7,3.5,0.6214,0.5941
10,10,3.5,0.6214,0.5941
20,7,4.0,0.6066,0.5929
30,5,3.5,0.6088,0.5919
5,10,3.5,0.6216,0.5913
20,5,3.5,0.6088,0.5905
20,10,3.5,0.6067,0.5762
25,10,3.5,0.6081,0.5755
3,5,3.5,0.64,0.5747
3,7,3.5,0.64,0.5746
30,15,3.5,0.6107,0.5743
5,15,3.5,0.6219,0.5737
15,5,3.5,0.6107,0.5736
5,10,4.0,0.5323,0.4967
5,15,4.0,0.5353,0.4785
5,5,5.0,0.5257,0.4599
10,5,4.0,0.2834,0.2267
5,5,3.5,0.279,0.2266
20,5,4.0,0.2546,0.2248
15,7,3.5,0.2551,0.2242
25,7,3.5,0.209,0.179
30,5,4.0,0.1955,0.1745
15,10,3.5,0.2069,0.1741
15,5,4.0,0.2067,0.1732
10,5,4.5,0.2242,0.1718
5,7,5.0,0.2386,0.1698
25,5,4.0,0.1887,0.1675
20,7,3.5,0.1899,0.1661
15,5,4.5,0.2116,0.1607
30,7,4.0,0.181,0.1518
3,7,4.0,0.2417,0.1508
5,7,4.0,0.2217,0.1505
30,10,3.5,0.183,0.1495
25,15,3.5,0.183,0.1495
25,15,4.0,0.1807,0.1494
30,5,4.5,0.1791,0.1494
25,10,4.0,0.1788,0.1494
15,15,3.5,0.1785,0.1494
20,15,3.5,0.1785,0.1494
30,15,4.0,0.1785,0.1494
10,10,4.0,0.2079,0.1493
3,10,3.5,0.2312,0.149
10,7,4.5,0.2044,0.1488
3,15,3.5,0.2313,0.1482
15,7,4.0,0.1786,0.1479
10,15,3.5,0.202,0.1472
5,7,3.5,0.2165,0.1468
15,7,4.5,0.1759,0.1457
5,5,4.5,0.2196,0.1226
25,5,5.0,0.1628,0.1186
25,5,4.5,0.1607,0.1057
5,10,4.5,0.1867,0.0952
3,10,4.5,0.2034,0.0932
3,5,4.0,0.1977,0.0912
30,7,4.5,0.1318,0.0837
25,7,4.5,0.1305,0.0806
30,10,4.5,0.1303,0.0799
5,5,4.0,0.1729,0.0794
15,5,5.0,0.1259,0.0785
25,15,5.0,0.1298,0.0784
20,10,4.5,0.1256,0.0778
20,10,4.0,0.1213,0.0772
15,7,5.0,0.1252,0.0763
20,7,4.5,0.1182,0.0759
5,15,4.5,0.1643,0.0745
25,10,4.5,0.1157,0.0745
20,5,5.0,0.1157,0.0745
30,10,4.0,0.1146,0.0742
20,5,4.5,0.114,0.0732
25,10,5.0,0.114,0.0732
3,7,4.5,0.18,0.073
10,7,4.0,0.1446,0.0725
15,15,4.0,0.1137,0.0724
25,15,4.5,0.1137,0.0724
30,15,4.5,0.1137,0.0724
30,5,5.0,0.1137,0.0724
25,7,5.0,0.1137,0.0724
30,7,5.0,0.1137,0.0724
3,7,5.0,0.1778,0.0722
3,5,5.0,0.1744,0.0722
20,15,4.5,0.1135,0.0719
10,10,4.5,0.1472,0.0718
10,7,5.0,0.1472,0.0718
15,10,4.0,0.1134,0.0717
15,10,4.5,0.1134,0.0717
30,10,5.0,0.1134,0.0717
30,15,5.0,0.1134,0.0717
5,7,4.5,0.1589,0.0712
5,10,5.0,0.1589,0.0712
10,15,4.5,0.1471,0.0711
15,10,5.0,0.1132,0.0711
10,15,4.0,0.1444,0.071
20,15,4.0,0.1131,0.0709
3,10,4.0,0.1776,0.0707
3,15,4.0,0.1776,0.0707
3,15,4.5,0.1776,0.0707
10,5,5.0,0.1471,0.0703
10,15,5.0,0.1471,0.0703
20,15,5.0,0.1129,0.0703
20,10,5.0,0.1129,0.0702
3,10,5.0,0.1776,0.0699
3,15,5.0,0.1776,0.0699
5,15,5.0,0.1587,0.0697
15,15,4.5,0.1127,0.0696
20,7,5.0,0.1127,0.0696
10,10,5.0,0.1471,0.0695
15,15,5.0,0.1124,0.0688
